Date	Organism	Reference SNP (rs)
14/08/2013	Mus musculus	71105894
14/08/2013	Arabidopsis thaliana	1069597
14/08/2013	Apis mellifera	1119078
14/08/2013	Caenorhabditis elegans	192044
14/08/2013	Oryza sativa	10966784
21/10/2013	Aspergillus fumigatus	114955
21/10/2013	Canis familiaris	3263123
21/10/2013	Equus caballus	4974054
21/10/2013	Glycine max	12105367
21/10/2013	Gorilla gorilla	5
21/10/2013	Meleagris gallopavo	9275
21/10/2013	Monodelphis domestica	1194131
21/10/2013	Ornithorhynchus anatinus	1319269
21/10/2013	Ovis aries	2839270
21/10/2013	Solanum lycopersicum	289
21/10/2013	Taeniopygia guttata	1750278
21/10/2013	Vitis vinifera	470645
21/10/2013	Oryctolagus cuniculus	24
09/04/2014	Apis mellifera	1119078
09/04/2014	Bos taurus	73518025
09/04/2014	Gallus gallus	9526068
09/04/2014	Glycine max	13087062
09/04/2014	Oreochromis niloticus	340
09/04/2014	Ovis aries	35558076
09/04/2014	Sus scrofa	28702828
11/02/2015	Mus musculus	80429085
11/02/2015	Bos taurus	85027819
11/02/2015	Danio rerio	17765748
03/03/2015	Ovis aries	54004457
03/03/2015	Ovis orientalis	29263208
03/03/2015	Capra hircus	37166653
03/03/2015	Capra aegagrus	17415157
03/03/2015	Sus scrofa	52679275
03/03/2015	Zea mays	10526779
03/03/2015	Microtus ochrogaster	14545
03/03/2015	Bos taurus	85027819
03/03/2015	Ciona intestinalis	3190512
26/08/2015	Sus scrofa	60361867
26/08/2015	Gallus gallus	21281860
26/08/2015	Sorghum bicolor	1345423
26/08/2015	Nomascus leucogenys	1173217
15/12/2015	Bos taurus	99547043
15/12/2015	Zea mays	54251824
15/12/2015	Canis familiaris	5932939
15/12/2015	Rattus norvegicus	5075460
15/12/2015	Brassica napus	901510
15/12/2015	Cicer arietinum	519066
20/07/2016	Felis catus	3609965
20/07/2016	Zea mays	54627567
20/07/2016	Bos taurus	100170652
20/07/2016	Drosophila melanogaster	5222783
20/07/2016	Vitis vinifera	470689
20/07/2016	Equus caballus	5069598
20/07/2016	Oryza sativa	13158285
20/07/2016	Sorghum bicolor	7130991
20/07/2016	Solanum lycopersicum	7855
20/07/2016	Meleagris gallopavo	9275
20/07/2016	Taeniopygia guttata	1750278
08/12/2016	Malus x domestica	383602
08/12/2016	Apis mellifera	4249090
08/12/2016	Astyanax mexicanus	507
08/12/2016	Daucus carota subsp. sativus	1393307
08/12/2016	Gossypium hirsutum	121164
08/12/2016	Brassica oleracea	625798
08/12/2016	Capsicum annuum	22848
08/12/2016	Ficedula albicollis	38529
08/12/2016	Drosophila melanogaster	5620299
08/12/2016	Monodelphis domestica	1189350
08/12/2016	Ornithorhynchus anatinus	1315309
08/12/2016	Parus major	7842
08/12/2016	Coturnix japonica	16298
08/12/2016	Oryctolagus cuniculus	38
08/12/2016	Rattus norvegicus	5075461
08/12/2016	Tribolium castaneum	172
08/12/2016	Nothobranchius furzeri	321
07/09/2017	Arabidopsis thaliana	13412809
07/09/2017	Gallus gallus	24277657
07/09/2017	Zea mays	58915360
07/09/2017	Bos taurus	104286568
07/09/2017	Equus caballus	5069659
07/09/2017	Macaca mulatta	53929680
07/09/2017	Mus musculus	84152707
07/09/2017	Sus scrofa	67116509
07/09/2017	Ovis aries	63745118
07/09/2017	Danio rerio	17765748
07/09/2017	Bos indicus	17758946
02/11/2017	Gallus gallus	24278419
02/11/2017	Zea mays	58915360
02/11/2017	Populus trichocarpa	12499188
02/11/2017	Canis lupus familiaris	5933041
02/11/2017	Equus caballus	21596592
02/11/2017	Oryza sativa	13172393
02/11/2017	Ovis aries	63745233
02/11/2017	Glycine max	17738956
02/11/2017	Bos indicus	18158268
09/11/2010	Agelaius phoeniceus	47
09/11/2010	Alectoris	91
09/11/2010	Alectoris chukar	5
09/11/2010	Alectoris rufa	24
09/11/2010	Allium cepa	45
09/11/2010	Amaranthus caudatus	26101
09/11/2010	Anopheles funestus	354
09/11/2010	Anopheles gambiae	1131534
09/11/2010	Apis mellifera	1117049
09/11/2010	Artemisia tridentata	20953
09/11/2010	Bison bison	6
09/11/2010	Bos indicus	223
09/11/2010	Bos indicus x Bos taurus	129
09/11/2010	Bos sp.	88
09/11/2010	Bos taurus	2210557
09/11/2010	Bubalus bubalis	477
09/11/2010	Caenorhabditis elegans	1065
09/11/2010	Candida albicans	103257
09/11/2010	Candida parapsilosis	841
09/11/2010	Candida tropicalis	24759
09/11/2010	Candidatus Liberibacter solanacearum	29
09/11/2010	Canis familiaris	3301322
09/11/2010	Capra hircus	28
09/11/2010	Cervus elaphus nelsoni	60
09/11/2010	Coccidioides immitis	722724
09/11/2010	Cooperia oncophora	426
09/11/2010	Coptotermes gestroi	11
09/11/2010	Corynespora cassiicola	9
09/11/2010	Coturnix coturnix	3
09/11/2010	Danio rerio	662321
09/11/2010	Daphnia magna	139
09/11/2010	Equus caballus	1163580
09/11/2010	Eulemur fulvus	1
09/11/2010	Felis catus	327037
09/11/2010	Ficedula hypoleuca	230
09/11/2010	Fusarium graminearum	10485
09/11/2010	Gadus morhua	2140
09/11/2010	Gallus gallus	3286531
09/11/2010	Gasterosteus aculeatus	816
09/11/2010	Gorilla gorilla	2
09/11/2010	Hypocrea jecorina	238
09/11/2010	Lodderomyces elongisporus	72880
09/11/2010	Macaca fascicularis	114
09/11/2010	Macaca mulatta	767
09/11/2010	Malus x domestica	50
09/11/2010	Medicago truncatula	27
09/11/2010	Meleagris gallopavo	9256
09/11/2010	Monodelphis domestica	1194131
09/11/2010	Mus musculus	14374295
09/11/2010	Mus spretus	4
09/11/2010	Musa AAB group	3
09/11/2010	Musa acuminata	17
09/11/2010	Musa balbisiana	9
09/11/2010	Mycobacterium tuberculosis	25
09/11/2010	Oncorhynchus clarkii	117
09/11/2010	Oncorhynchus keta	212
09/11/2010	Oncorhynchus kisutch	40
09/11/2010	Oncorhynchus mykiss	725
09/11/2010	Oncorhynchus nerka	118
09/11/2010	Oncorhynchus tshawytscha	695
09/11/2010	Oreochromis niloticus	254
09/11/2010	Ornithorhynchus anatinus	1319269
09/11/2010	Oryza nivara	47
09/11/2010	Oryza rufipogon	70
09/11/2010	Oryza sativa	5418373
09/11/2010	Ovis aries	4626
09/11/2010	Pan troglodytes	1508745
09/11/2010	Parus major	18
09/11/2010	Phytophthora capsici	360
09/11/2010	Pinus pinaster	1598
09/11/2010	Pisum sativum	1672
09/11/2010	Plasmodium falciparum	185071
09/11/2010	Pongo abelii	1359819
09/11/2010	Prunus dulcis	109
09/11/2010	Psetta maxima	40
09/11/2010	Pseudomonas aeruginosa	36
09/11/2010	Rattus norvegicus	2741818
09/11/2010	Salmo salar	1344
09/11/2010	Salmonella enterica	247
09/11/2010	Schistosoma mansoni	8
09/11/2010	Solanum lycopersicum	376
09/11/2010	Staphylococcus aureus	1
09/11/2010	Streptococcus pyogenes	3906
09/11/2010	Sus scrofa	8427
09/11/2010	Taeniopygia guttata	1751345
09/11/2010	Tetraodon nigroviridis	903110
09/11/2010	Trypanosoma cruzi	695019
09/11/2010	Zostera marina	51
